Company,Post Money Value (Billions),Post Money Value (Millions),Total Equity Funding (Millions),Lead Investors Include,Country,Continent,Month,Year,Industry
Wenheyou,2,2000,91,IDG Capital,China,Asia,4,2021,Consumer & Retail
WeRide,5,5000,1000,China Development Bank Capital,China,Asia,12,2020,Industrials
WeWork China,5,5000,1000,Trustbridge Partners,China,Asia,7,2018,Industrials
Whatnot,4,4000,485,Multiple Investors,United States,North America,9,2021,Consumer & Retail
WHOOP,4,4000,404,SoftBank Vision Fund,United States,North America,10,2020,Healthcare & Life Sciences
Wifi Skeleton Key,1,1000,52,Eight Roads Ventures,China,Asia,11,2015,Enterprise Tech
Wildlife Studios,3,3000,260,Vulcan Capital,Brazil,South America,12,2019,Media & Entertainment
Wilson Wolf Corporation,1,1000,257,Bio-Techne,United States,North America,3,2023,Healthcare & Life Sciences
Wisk Aero,1,1000,450,The Boeing Company,United States,North America,1,2022,Industrials
Womai,1,1000,330,Taikang Insurance Group,China,Asia,10,2015,Consumer & Retail
Wonder,4,4000,850,Nestlé,United States,North America,6,2022,Enterprise Tech
Workato,6,6000,415,Battery Ventures,United States,North America,1,2021,Enterprise Tech
Workhuman,1,1000,9,Atlas Venture,Ireland,Europe,6,2020,Enterprise Tech
Workrise,3,3000,722,Baillie Gifford,United States,North America,9,2019,Industrials
Worldcoin,3,3000,125,Andreessen Horowitz,Germany,Europe,6,2021,Financial Services
Wrapbook,1,1000,131,Tiger Global Management,United States,North America,11,2021,Media & Entertainment
Xanadu,1,1000,231,Georgian,Canada,North America,11,2022,Enterprise Tech
Xendit,1,1000,535,Multiple Investors,Indonesia,Asia,9,2021,Financial Services
Xforceplus,1,1000,200,Temasek Holdings,China,Asia,6,2021,Enterprise Tech
Xiaodu,5,5000,0,China Structural Reform Fund,China,Asia,11,2020,Enterprise Tech
Xiaoice,1,1000,138,Hillhouse Capital Group,China,Asia,7,2021,Media & Entertainment
Xiaozhu.com,1,1000,572,Multiple Investors,China,Asia,11,2017,Consumer & Retail
Xinchao Media,2,2000,768,JD.com,China,Asia,4,2018,Media & Entertainment
Xingji Meizu,1,1000,276,Multiple Investors,China,Asia,11,2023,Industrials
XINGYUN GROUP,2,2000,950,Multiple Investors,China,Asia,9,2020,Consumer & Retail
Xpansiv,2,2000,278,Multiple Investors,United States,North America,1,2023,Industrials
Xpressbees,2,2000,553,Teachers’ Venture Growth,India,Asia,2,2022,Consumer & Retail
XtalPi,2,2000,786,Multiple Investors,United States,North America,8,2021,Healthcare & Life Sciences
XTransfer,1,1000,168,D1 Capital Partners,China,Asia,9,2021,Financial Services
Yandex.Taxi,4,4000,325,Multiple Investors,The Netherlands,Europe,5,2023,Transportation
Yanolja,9,9000,2000,SoftBank Vision Fund,South Korea,Asia,6,2019,Consumer & Retail
Yaoshibang,1,1000,496,Tiger Global Management,China,Asia,6,2021,Healthcare & Life Sciences
YH Global,1,1000,182,Multiple Investors,China,Asia,9,2017,Industrials
Yidao Yongche,1,1000,790,China CITIC Bank,China,Asia,10,2015,Transportation
Yidian Zixun,1,1000,151,Long De Cheng Zhang Culture Communication,China,Asia,10,2017,Media & Entertainment
Yijiupi,1,1000,511,Tencent,China,Asia,9,2018,Consumer & Retail
YinLong Group,2,2000,432,Multiple Investors,China,Asia,3,2017,Industrials
Yipin Fresh,3,3000,659,Multiple Investors,China,Asia,3,2019,Consumer & Retail
YipitData,1,1000,492,The Carlyle Group,United States,North America,12,2021,Enterprise Tech
Yitu Technology,2,2000,401,Yichang Boyue Investment Management,China,Asia,3,2018,Enterprise Tech
Yotpo,1,1000,436,Shopify,United States,North America,3,2021,Consumer & Retail
Younited,1,1000,444,Multiple Investors,France,Europe,12,2022,Financial Services
Youxia Motors,3,3000,1000,Gezhi Asset Management,China,Asia,4,2018,Industrials
Yubi,2,2000,227,Multiple Investors,India,Asia,3,2022,Financial Services
Yuga Labs,4,4000,450,a16z crypto,United States,North America,3,2022,Media & Entertainment
Yugabyte,1,1000,291,Sapphire Ventures,United States,North America,10,2021,Enterprise Tech
YunQuNa,1,1000,257,Multiple Investors,China,Asia,6,2021,Transportation
Yunwang Wandian,4,4000,912,Shenzhen Capital Group,China,Asia,12,2020,Consumer & Retail
Yunxuetang,1,1000,389,Matrix Partners China,China,Asia,3,2021,Enterprise Tech
Yunyinggu,1,1000,121,Sequoia Capital China,China,Asia,11,2020,Enterprise Tech
Yuze Semiconductor,1,1000,177,Multiple Investors,China,Asia,1,2023,Industrials
Zapier,4,4000,1,Multiple Investors,United States,North America,1,2021,Enterprise Tech
Zebec,1,1000,43,Multiple Investors,United States,North America,8,2022,Financial Services
Zego,1,1000,282,Multiple Investors,United Kingdom,Europe,3,2021,Insurance
ZenBusiness,2,2000,277,Oak HC/FT,United States,North America,11,2021,Enterprise Tech
Zenoti,2,2000,331,TPG,United States,North America,12,2020,Consumer & Retail
Zepto,1,1000,598,Multiple Investors,India,Asia,8,2023,Consumer & Retail
Zepz,5,5000,655,Farallon Capital Management,United Kingdom,Europe,8,2021,Financial Services
Zeta,2,2000,340,Mastercard,United States,North America,5,2021,Financial Services
Zetwerk,3,3000,659,Avenir Growth Capital,India,Asia,8,2021,Industrials
Zhaogang.com,1,1000,379,West Fund,China,Asia,6,2017,Industrials
Zhenkunxing,2,2000,999,YF Capital,China,Asia,12,2018,Industrials
Zhidou,1,1000,15,Geely,China,Asia,11,2017,Industrials
Zhiji Auto,4,4000,444,BOCOM International,China,Asia,6,2022,Industrials
Zhipu AI,1,1000,0,Multiple Investors,China,Asia,9,2023,Enterprise Tech
Zhiyuan Robotics,1,1000,0,Baidu Capital,China,Asia,6,2023,Industrials
Zhuanzhuan,1,1000,990,Xiaomi,China,Asia,4,2017,Consumer & Retail
Zhubajie,2,2000,445,Multiple Investors,China,Asia,6,2015,Enterprise Tech
ZigBang,2,2000,282,Shinhan Venture Investment,South Korea,Asia,6,2022,Financial Services
Zihaiguo,1,1000,80,Beijing Taikang Investment,China,Asia,5,2021,Consumer & Retail
Zilch,2,2000,414,eBay Ventures,United Kingdom,Europe,11,2021,Financial Services
Zip,2,2000,181,Y Combinator,United States,North America,5,2022,Enterprise Tech
Zipline,4,4000,813,Multiple Investors,United States,North America,5,2019,Industrials
Ziroom,7,7000,2000,SoftBank Vision Fund,China,Asia,1,2018,Consumer & Retail
Zocdoc,2,2000,374,Francisco Partners,United States,North America,8,2015,Healthcare & Life Sciences
Zongmu,1,1000,376,Multiple Investors,China,Asia,6,2021,Industrials
Zopa,1,1000,886,SoftBank Vision Fund,United Kingdom,Europe,10,2021,Financial Services
Zwift,1,1000,620,Kohlberg Kravis Roberts,United States,North America,9,2020,Healthcare & Life Sciences
ZYBER 365,1,1000,100,SRAM & MRAM,India,Asia,8,2023,Enterprise Tech
Andalusia Labs,1,1000,52,Lightspeed Venture Partners,United States,North America,12,2023,Financial Services
Castore,1,1000,188,Raine Ventures,United Kingdom,Europe,9,2023,Consumer & Retail
Changxin New Bridge,6,6000,2000,China Integrated Circuit Industry Investment Fund (CICF),China,Asia,10,2023,Enterprise Tech
cult.fit,1,1000,615,Zomato,India,Asia,12,2021,Enterprise Tech
EmployerDirect Healthcare,1,1000,1,Dundon Capital Partners,United States,North America,12,2023,Healthcare & Life Sciences
Insitro,1,1000,643,Canada Pension Plan Investment Board,United States,North America,4,2021,Enterprise Tech
Letu,1,1000,30,CICC Capital,China,Asia,10,2023,Financial Services
Lightmatter,1,1000,422,Multiple Investors,United States,North America,12,2023,Enterprise Tech
MaintainX,1,1000,104,Bain Capital Ventures,United States,North America,12,2023,Enterprise Tech
Mistral AI,2,2000,528,Multiple Investors,France,Europe,12,2023,Enterprise Tech
Picnic,1,1000,1000,Bill & Melinda Gates Foundation,The Netherlands,Europe,11,2022,Enterprise Tech
Silicon Box,1,1000,408,Multiple Investors,Singapore,Asia,12,2023,Industrials
Silverfort,1,1000,223,Brighton Park Capital,Israel,Asia,12,2023,Enterprise Tech
Sineva,2,2000,253,Peakview Capital,China,Asia,12,2023,Enterprise Tech
Snack Is Busy,1,1000,185,Multiple Investors,China,Asia,12,2023,Enterprise Tech
SolarSpace,1,1000,0,Yingke Capital,China,Asia,11,2022,Industrials
Tamara,1,1000,556,Multiple Investors,Saudi Arabia,Asia,12,2023,Financial Services
Vestwell,1,1000,238,Lightspeed Venture Partners,United States,North America,12,2023,Financial Services
Wormhole,3,3000,225,Multiple Investors,Cayman Islands,North America,11,2023,Enterprise Tech
